100000
(0.709751, 0.288989)
(0.709412, 0.163166)
(0.662533, 0.019560)
(0.341876, 0.212458)
(0.282654, 0.833180)
(0.672585, 0.579210)
(0.578074, 0.519043)
(0.189191, 0.239536)
(0.096189, 0.665103)
(0.816468, 0.193528)
(0.266408, 0.231349)
(0.779461, 0.357690)
(0.945103, 0.564472)
(0.903728, 0.210707)
(0.412489, 0.510906)
(0.449787, 0.796305)
(0.826889, 0.130382)
(0.435769, 0.359120)
(0.240299, 0.244044)
(0.383443, 0.560928)
(0.111035, 0.201314)
(0.906787, 0.118806)
(0.125587, 0.713349)
(0.957220, 0.504871)
(0.140105, 0.787072)
(0.890145, 0.419293)
(0.083553, 0.755858)
(0.289310, 0.966006)
(0.989259, 0.139364)
(0.103294, 0.022397)
(0.684043, 0.459064)
(0.157591, 0.756305)
(0.616554, 0.524982)
(0.178472, 0.996640)
(0.467325, 0.520614)
(0.954794, 0.046403)
(0.216771, 0.163880)
(0.316730, 0.204301)
(0.398951, 0.054955)
(0.732804, 0.795040)
(0.940192, 0.629185)
(0.594787, 0.990038)
(0.220576, 0.087610)
(0.679418, 0.576366)
(0.905825, 0.713075)
(0.072051, 0.933613)
(0.422008, 0.241768)
(0.100655, 0.366742)
(0.079832, 0.885271)
(0.044894, 0.211916)
(0.519542, 0.850919)
(0.030181, 0.699146)
(0.425566, 0.420023)
(0.425549, 0.966677)
(0.784051, 0.111542)
(0.599537, 0.160624)
(0.695985, 0.289217)
(0.729273, 0.321167)
(0.850616, 0.283781)
(0.898943, 0.078111)
(0.993898, 0.444791)
(0.062070, 0.994633)
(0.686191, 0.603175)
(0.405294, 0.455197)
(0.966127, 0.233398)
(0.144652, 0.276350)
(0.307853, 0.577114)
(0.092033, 0.133190)
(0.761233, 0.347749)
(0.767348, 0.062650)
(0.169182, 0.426369)
(0.512701, 0.869724)
(0.711679, 0.745120)
(0.290540, 0.216190)
(0.385332, 0.745117)
(0.428485, 0.859835)
(0.358955, 0.010737)
(0.110602, 0.645099)
(0.113879, 0.642996)
(0.563431, 0.657116)
(0.981282, 0.376233)
(0.366376, 0.978043)
(0.213559, 0.690540)
(0.301952, 0.939190)
(0.338141, 0.144817)
(0.783392, 0.758797)
(0.684828, 0.277803)
(0.917039, 0.823460)
(0.480853, 0.669508)
(0.357856, 0.196970)
(0.936113, 0.084532)
(0.725406, 0.756904)
(0.145981, 0.817538)
(0.390777, 0.253265)
(0.133153, 0.348515)
(0.003381, 0.332742)
(0.260530, 0.260971)
(0.170989, 0.798743)
(0.131773, 0.028239)
(0.572366, 0.932771)
(0.421380, 0.069316)
(0.422316, 0.896055)
(0.597604, 0.825965)
(0.336983, 0.575483)
(0.615766, 0.069257)
(0.291143, 0.498141)
(0.509312, 0.879076)
(0.477697, 0.251358)
(0.343760, 0.587827)
(0.583241, 0.522890)
(0.729871, 0.869606)
(0.337235, 0.386284)
(0.920835, 0.119251)
(0.692123, 0.577768)
(0.443586, 0.355347)
(0.355384, 0.901129)
(0.357272, 0.662972)
(0.529753, 0.075428)
(0.168436, 0.731225)
(0.337669, 0.785114)
(0.622128, 0.040805)
(0.569219, 0.286109)
(0.850838, 0.912303)
(0.217553, 0.441552)
(0.058562, 0.238712)
(0.241117, 0.765203)
(0.769074, 0.937527)
(0.714192, 0.334991)
(0.365844, 0.764156)
(0.918796, 0.199125)
(0.718873, 0.747333)
(0.679388, 0.665115)
(0.185967, 0.210018)
(0.522475, 0.270341)
(0.386482, 0.629712)
(0.870325, 0.131382)
(0.939751, 0.683284)
(0.573466, 0.464524)
(0.824496, 0.162642)
(0.217359, 0.730393)
(0.407941, 0.964948)
(0.203587, 0.840202)
(0.390990, 0.347710)
(0.466178, 0.720297)
(0.771003, 0.895150)
(0.353835, 0.975481)
(0.724090, 0.582897)
(0.517927, 0.186951)
(0.197740, 0.530213)
(0.293736, 0.447889)
(0.713350, 0.427738)
(0.231492, 0.743650)
(0.590028, 0.953595)
(0.833506, 0.218094)
(0.471739, 0.322820)
(0.686222, 0.009665)
(0.585858, 0.397610)
(0.468992, 0.249710)
(0.119938, 0.443695)
(0.442735, 0.847633)
(0.817363, 0.405841)
(0.518872, 0.501874)
(0.658051, 0.414548)
(0.884271, 0.224603)
(0.950342, 0.288151)
(0.799483, 0.361704)
(0.765965, 0.484195)
(0.239458, 0.090578)
(0.184261, 0.180323)
(0.562187, 0.719661)
(0.362215, 0.030094)
(0.878339, 0.547178)
(0.502641, 0.992490)
(0.038789, 0.230497)
(0.711922, 0.183425)
(0.323864, 0.793213)
(0.508620, 0.143289)
(0.272480, 0.321013)
(0.256189, 0.172923)
(0.631498, 0.335612)
(0.227078, 0.461107)
(0.851581, 0.078093)
(0.887005, 0.342062)
(0.400029, 0.736343)
(0.324542, 0.237476)
(0.357972, 0.137414)
(0.085874, 0.058180)
(0.260023, 0.197788)
(0.478444, 0.552145)
(0.914093, 0.837586)
(0.632639, 0.843373)
(0.578741, 0.182136)
(0.346019, 0.697651)
(0.952975, 0.182887)
(0.779882, 0.943748)
(0.184271, 0.956700)
(0.009962, 0.316298)
(0.282583, 0.261435)
(0.743743, 0.862977)
(0.460232, 0.304397)
(0.971161, 0.247512)
(0.417064, 0.480207)
(0.744186, 0.128580)
(0.831125, 0.682963)
(0.672007, 0.035073)
(0.469123, 0.848490)
(0.029810, 0.073945)
(0.346479, 0.752729)
(0.905449, 0.930722)
(0.684543, 0.023547)
(0.285910, 0.017853)
(0.801258, 0.152069)
(0.554639, 0.261959)
(0.728698, 0.113374)
(0.238775, 0.579613)
(0.047592, 0.032176)
(0.545136, 0.109073)
(0.907052, 0.005728)
(0.664074, 0.361432)
(0.650230, 0.235967)
(0.081007, 0.312937)
(0.500400, 0.449565)
(0.161585, 0.554693)
(0.518453, 0.788697)
(0.413105, 0.786757)
(0.224109, 0.429529)
(0.492115, 0.772082)
(0.403290, 0.935479)
(0.155478, 0.171716)
(0.989697, 0.343927)
(0.130078, 0.867248)
(0.724282, 0.466839)
(0.232709, 0.529107)
(0.294364, 0.660873)
(0.894325, 0.369211)
(0.566041, 0.451732)
(0.663480, 0.059619)
(0.715024, 0.932178)
(0.953957, 0.024524)
(0.603197, 0.003802)
(0.672014, 0.628498)
(0.005911, 0.608834)
(0.289872, 0.957332)
(0.491789, 0.196621)
(0.064439, 0.171807)
(0.523567, 0.035866)
(0.877517, 0.563698)
(0.654546, 0.135792)
(0.375902, 0.764422)
(0.657524, 0.771241)
(0.061409, 0.904111)
(0.997215, 0.822568)
(0.224688, 0.213322)
(0.796918, 0.085634)
(0.061259, 0.135379)
(0.409553, 0.623312)
(0.844080, 0.343929)
(0.487434, 0.541902)
(0.601584, 0.676855)
(0.847209, 0.657767)
(0.146789, 0.418992)
(0.865594, 0.944188)
(0.722835, 0.776952)
(0.539432, 0.929890)
(0.104404, 0.748350)
(0.282527, 0.062361)
(0.068045, 0.787279)
(0.209537, 0.394558)
(0.179215, 0.937855)
(0.685988, 0.714796)
(0.603977, 0.539236)
(0.340242, 0.836155)
(0.424449, 0.440663)
(0.547477, 0.577944)
(0.855408, 0.746736)
(0.609374, 0.719380)
(0.995060, 0.310488)
(0.185196, 0.928450)
(0.522212, 0.926167)
(0.606329, 0.719391)
(0.025805, 0.824065)
(0.637303, 0.092948)
(0.854369, 0.244511)
(0.840863, 0.245684)
(0.792885, 0.001171)
(0.598051, 0.697032)
(0.720919, 0.800788)
(0.896934, 0.760913)
(0.512552, 0.610381)
(0.695047, 0.373575)
(0.435266, 0.797175)
(0.517367, 0.284266)
(0.108046, 0.003155)
(0.249416, 0.505451)
(0.437633, 0.236450)
(0.818733, 0.645081)
(0.806239, 0.043289)
(0.058708, 0.867591)
(0.995758, 0.587266)
(0.771740, 0.368686)
(0.656458, 0.418775)
(0.519950, 0.356479)
(0.298796, 0.166768)
(0.091509, 0.676853)
(0.253837, 0.962265)
(0.012074, 0.801520)
(0.417478, 0.474510)
(0.857834, 0.493996)
(0.359544, 0.147227)
(0.164520, 0.237441)
(0.531425, 0.405032)
(0.903807, 0.027035)
(0.898374, 0.548277)
(0.552575, 0.780558)
(0.483877, 0.705339)
(0.922711, 0.761585)
(0.851538, 0.772441)
(0.796321, 0.599310)
(0.452672, 0.762943)
(0.380215, 0.646007)
(0.910365, 0.072491)
(0.248976, 0.966467)
(0.464975, 0.824856)
(0.973543, 0.059588)
(0.306690, 0.357435)
(0.610531, 0.726142)
(0.764668, 0.472508)
(0.288790, 0.552405)
(0.699955, 0.813693)
(0.885876, 0.529469)
(0.676596, 0.374693)
(0.616832, 0.735101)
(0.216340, 0.516730)
(0.807787, 0.741672)
(0.337422, 0.506434)
(0.910268, 0.626937)
(0.939734, 0.903335)
(0.205095, 0.295449)
(0.448074, 0.098461)
(0.258214, 0.923901)
(0.068146, 0.644493)
(0.782596, 0.569723)
(0.620354, 0.018812)
(0.395399, 0.824866)
(0.362988, 0.321913)
(0.333474, 0.135058)
(0.230199, 0.864895)
(0.685768, 0.200813)
(0.754072, 0.085162)
(0.771947, 0.237404)
(0.596213, 0.175300)
(0.361542, 0.790011)
(0.053949, 0.459863)
(0.405963, 0.300653)
(0.149945, 0.220903)
(0.826751, 0.253201)
(0.670204, 0.155246)
(0.144603, 0.524603)
(0.000821, 0.754031)
(0.631681, 0.586957)
(0.007130, 0.586759)
(0.059274, 0.516911)
(0.822057, 0.443974)
(0.264807, 0.693726)
(0.608191, 0.990213)
(0.929121, 0.370653)
(0.342706, 0.571660)
(0.434306, 0.302656)
(0.580281, 0.291020)
(0.556955, 0.589094)
(0.319639, 0.397468)
(0.399070, 0.777428)
(0.729249, 0.264053)
(0.553698, 0.785142)
(0.563798, 0.521730)
(0.065126, 0.542480)
(0.876925, 0.567368)
(0.999060, 0.042854)
(0.755443, 0.661428)
(0.790546, 0.744401)
(0.281238, 0.507037)
(0.272621, 0.465488)
(0.806098, 0.395028)
(0.864395, 0.486560)
(0.643226, 0.137497)
(0.808193, 0.252040)
(0.517910, 0.118149)
(0.732665, 0.216902)
(0.208875, 0.408456)
